Building_Name,Bedroom,Bathroom,price,Price_bracket,Developer,Facilities,Tenure_Type,Completion_Year,No_of_Floors,Total_Units,Parking_Lot,Floor_Range,Land_Title,Nearby_Train,Railway_Station,Bus_Stop_Availability,Bus_Stop,Mall_Availability,Mall,Park_Avalilability,Park,School_Availabilty,School,Street,City,State
Pandan Residence,3,2,"443,000",Below 500K,-,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Jogging Track",Freehold,-,-,-,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Pandan Ria 7,Tebrau,Johor
Idaman Residence @ Nusa Idaman,4,2,"469,000",Below 500K,UEM Sunrise Berhad,"Security, Gymnasium, Playground, Swimming Pool, Multipurpose hall",Freehold,-,-,42,-,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Off Persiaran Indah Utama,Nusa Idaman,Johor
Horizon Residence (Dwi Mutiara),3,2,"420,000",Below 500K,-,"Playground, Swimming Pool, Gymnasium, Tennis Court, Jogging Track, Parking, Security, Minimart, Barbeque area, Club house",Freehold,2014,-,440,-,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Lingkungan Indah Utama,Iskandar Puteri,Johor
Taman Orchard Heights,3,2,"65,000",Below 250K,-,-,Freehold,-,-,-,2,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Taman Orchard Heights,Batu Pahat,Johor
Taman Plentong Utama,3,2,"135,000",Below 250K,-,-,Freehold,-,-,-,-,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Bunga Daisi 8,Masai,Johor
Taman Selesa Jaya,2,1,"120,000",Below 250K,-,-,Freehold,-,-,-,-,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Taman Selesa Jaya,Skudai,Johor
SuriaMas Suites (Johor Bahru),3,2,"335,000",Below 500K,IJM LAND BERHAD,"Multipurpose hall, Security, Swimming Pool",Leasehold,-,10,65,-,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Dato Jaafar,Taman Dato' Onn,Johor
Nusavilla,4,2,"488,000",Below 500K,-,"Gymnasium, Tennis Court, Playground, Squash Court, Lift, Security, Jogging Track, Parking, Swimming Pool",Freehold,-,-,-,-,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Jati 11,Taman Nusa Bestari Jaya,Johor
Sunway GRID Residence,1,1,"366,000",Below 500K,-,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Leasehold,-,-,-,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Persiaran Medini 3,Iskandar Puteri,Johor
Desa Skudai Apartment,3,2,"338,000",Below 500K,-,-,Freehold,-,-,-,-,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Sejahtera 1,Skudai,Johor
KSL Residence 2 @ Kangkar Tebrau,2,2,"380,790",Below 500K,KSL Holdings Berhad,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",Leasehold,-,-,-,1,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Kangkar Tebrau,Johor Bahru,Johor
Flat Taman Perling,2,2,"150,000",Below 250K,I&P Group,-,Leasehold,-,-,-,-,Low,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Taman Perling,Perling,Johor
Greenfield Regency,2,2,"380,000",Below 500K,Alpha Astral,"Gymnasium, Multipurpose hall, Parking, Playground, Jogging Track, Swimming Pool, Security, Minimart, Tennis Court",Freehold,2014,-,561,-,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Skudai Lama,Taman Tampoi Indah,Johor
Zennith Suites,1,1,"245,000",Below 250K,-,-,Leasehold,-,27,303,-,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Kebun Teh 1,Johor Bahru,Johor
