Building_Name,Bedroom,Bathroom,price,Price_bracket,Developer,Facilities,Tenure_Type,Completion_Year,No_of_Floors,Total_Units,Parking_Lot,Floor_Range,Land_Title,Nearby_Train,Railway_Station,Bus_Stop_Availability,Bus_Stop,Mall_Availability,Mall,Park_Avalilability,Park,School_Availabilty,School,Street,City,State
Teratai Mewah Apartment,3,1,"185,000",Below 250K,-,"Security, Playground, Lift",Freehold,-,12,216,-,-,Non Bumi Lot,No nearby LRT/MRT,,Got Bus Stop,"Bus Stop Jalan Semarak Api
Bus Stop SMJK Chong Hwa
Bus Stop SMJK Chong Hwa (Opp)
Bus Stop Kg Puah
Bus Stop Diamond Square
Bus Stop KFC Genting Klang
Bus Stop Diamond Square (Opp)
Bus Stop Abi Waqqas Mosque (Opp)
Bus Stop BSN Genting Klang
Bus Stop Sri Pelangi Condominium (Opp)
Bus Stop Saad Mosque
Bus Stop Sri Pelangi Condominium
Bus Stop Jalan Genting Klang
Bus Stop Perumahan Taman Setapak
Bus Stop Taman Genting Setapak
Bus Stop 2 Jalan Jerejak
Bus Stop KL Traders Square
Bus Stop 1 Jalan Jerejak
Bus Stop KL Traders Square (Opp)
Bus Stop Taman P. Ramlee
Bus Stop Setapak Garden Commercial
Bus Stop PV128 Setapak
Bus Stop Rumah 148
Bus Stop Langkawi Apartment (Opp)
Bus Stop BHP Genting Klang
Bus Stop Courts Megastore Setapak (Opp)
Bus Stop Setapak Garden (North)
Bus Stop Setapak Garden (Middle)
Bus Stop Setapak Garden Shopping Lot
Bus Stop Courts Megastore Setapak",No Mall,,Got Park,"Park 2 at Rumah Pangsa Taman Danau Kota, Setapak, Kuala Lumpur, Malaysia
Park 1 at Rumah Pangsa Taman Danau Kota, Setapak, Kuala Lumpur, Malaysia
Park at Desa Gombak, Setapak, Kuala Lumpur, Malaysia
Park 2 at Setapak Garden, Setapak, Kuala Lumpur, Malaysia
Park 1 at Setapak Garden, Setapak, Kuala Lumpur, Malaysia
Park at Setapak Garden, Kampung Sungai Merali, Kuala Lumpur, Malaysia
Park at Taman Ayer Panas, Setapak, Kuala Lumpur, Malaysia
Taman Medan Idaman, Setapak, Kuala Lumpur, Malaysia",Got School,"SJK (C) Mun Yee
Chong Hwa Secondary School
SMK Danau Kota
SK Danau Kota (2)
Sekolah Rendah Agama At-Taqwa",Jalan Langkawi,Setapak,Kuala Lumpur
Kasturi Apartment (Bdr Tasik Permaisuri),3,2,"240,000",Below 250K,-,"Minimart, Security, Parking, Playground, Lift",Leasehold,-,17,-,1,Low,Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Permaisuri 3,Bandar Sri Permaisuri,Kuala Lumpur
Villa OUG,3,3,"550,000",Below 750K,Kumpulan Hartanah,"Security, Gymnasium, Swimming Pool, Parking, Playground",Freehold,-,6,116,2,-,Non Bumi Lot,Got nearby LRT/MRT,"KTM Station Seputeh (Komuter Seremban Line)
KTM Station Angkasapuri (Komuter Port Klang Line)",Got Bus Stop,"Bus Stop KL 1284 Wisma Buddist
Bus Stop KL 1179 Saville Residence
Bus Stop KL 1180 Wisma Buddist
Bus Stop KL 1283 Batu 3 1/2 Klang Lama
Bus Stop KL 1285 Saville Residence
Bus Stop KL 1181 Batu 3 1/2 KLang Lama
Bus Stop KL 1282 3Rd Mile Square
Bus Stop KL 1281 Taman Shanghai (Utara)
Bus Stop KL 1183 Taman Shanghai (Utara)
Bus Stop KTM Angkasapuri
Bus Stop 1 Flat Sri Labuan
Bus Stop KL 1188 Wisma Tm Taman Desa
Bus Stop Jalan Desa Utama
Bus Stop Jalan 2/112A
Bus Stop KL 1190 Taman Bukit Desa (Selatan)
Bus Stop KL 1280 Taman Shanghai (Selatan)
Bus Stop KL 1187 Papillion Desahill Condominium
Bus Stop Mid Valley Megamall South Court
Bus Stop KL 1184 Taman Shanghai (Selatan)",Got Mall,Mid Valley Megamall,Got Park,"Park at Taman Halimahton, Seputeh, Kuala Lumpur, Malaysia
Park at Seputeh, Kuala Lumpur, 50614, Malaysia
Park 2 at Seputeh, Kuala Lumpur, Malaysia
Park at Taman Desa, Kuala Lumpur, 58100, Malaysia
Pantai Eco Park, Pantai Dalam, Kuala Lumpur, Malaysia
Park 3 at Taman Desa, Kuala Lumpur, Malaysia
Park 2 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 1 at Seputeh, Kuala Lumpur, 58100, Malaysia
Park 3 at Seputeh, Kuala Lumpur, 58100, Malaysia",Got School,Vikas International School,Jalan Awan Dandan,Old Klang Road,Kuala Lumpur
3rdNvenue,2,2,"350,000",Below 500K,Titijaya Land Berhad,-,Freehold,2021,-,1100,1,-,Non Bumi Lot,Got nearby LRT/MRT,"LRT Station Jelatek (Kelana Jaya Line)
LRT Station Dato' Keramat (Kelana Jaya Line)",Got Bus Stop,"Bus Stop 3 Jalan Ampang
Bus Stop 4 Jalan Ampang
Bus Stop 1 Jalan Ampang
Bus Stop Jalan Ampang Hilir
Bus Stop 3 Towers KL (KL2297)
Bus Stop LRT Datuk Keramat
Bus Stop Taman Tasik Keramat
Bus Stop 2 Jalan Ampang
Bus Stop Bangunan Risda (KL2290)
Bus Stop Ampang Timur (KL1816)
Bus Stop Ampwalk (KL2281)
Bus Stop Ampwalk (KL2280)",Got Mall,"Great Eastern Mall
Ampang Walk",Got Park,"Park at Ulu Kelang, Ampang Jaya Municipal Council, Gombak, Selangor, Malaysia
Datuk Keramat Lake Garden, Kampung Datuk Keramat, Kuala Lumpur, Malaysia",Got School,"Libyan School
SRA Al-Alusi
Sayfol International School
SMK Seri Ampang
International School Of Kuala Lumpur City
SK Datok Keramat 1 & 2
Sekolah Rendah Agama Dato Keramat
SMK Puteri Ampang",Jalan Nipah Off Jalan Ampang,Ampang,Kuala Lumpur
Residensi Platinum Teratai,5,2,"410,000",Below 500K,Platinum Victory Group Sdn. Bhd.,-,Freehold,-,-,-,2,High,Non Bumi Lot,No nearby LRT/MRT,,Got Bus Stop,"Bus Stop Perumahan Taman Setapak
Bus Stop 2 Jalan Jerejak
Bus Stop Setapak Garden Commercial
Bus Stop 1 Jalan Jerejak
Bus Stop Jalan Semarak Api
Bus Stop Langkawi Apartment (Opp)
Bus Stop SMJK Chong Hwa
Bus Stop Abi Waqqas Mosque (Opp)
Bus Stop Setapak Garden (North)
Bus Stop SMJK Chong Hwa (Opp)
Bus Stop Sri Pelangi Condominium
Bus Stop Saad Mosque
Bus Stop Jalan Genting Klang
Bus Stop Setapak Garden (Middle)
Bus Stop Kg Puah
Bus Stop KFC Genting Klang
Bus Stop Sri Pelangi Condominium (Opp)
Bus Stop Sutera Condominium
Bus Stop Setapak Garden Shopping Lot
Bus Stop Aeon Big Danau Kota
Bus Stop KL Traders Square
Bus Stop BSN Genting Klang
Bus Stop PV128 Setapak
Bus Stop KL Traders Square (Opp)
Bus Stop Idaman Puteri Condominium
Bus Stop BHP Genting Klang
Bus Stop Diamond Square
Bus Stop PV15 Platinum
Bus Stop Setapak Garden (West)
Bus Stop Diamond Square (Opp)
Bus Stop Batu 4 Gombak
Bus Stop Ju Xian Miow
Bus Stop Taman Genting Setapak
Bus Stop Residensi Inspiria (Opp)
Bus Stop CIMB Genting Klang",No Mall,,Got Park,"Park 2 at Rumah Pangsa Taman Danau Kota, Setapak, Kuala Lumpur, Malaysia
Park 2 at Setapak Garden, Setapak, Kuala Lumpur, Malaysia
Park 1 at Setapak Garden, Setapak, Kuala Lumpur, Malaysia
Park 1 at Rumah Pangsa Taman Danau Kota, Setapak, Kuala Lumpur, Malaysia
Taman Medan Idaman, Setapak, Kuala Lumpur, Malaysia
Park at Setapak Garden, Kampung Sungai Merali, Kuala Lumpur, Malaysia
Park at Desa Gombak, Setapak, Kuala Lumpur, Malaysia
Park at Setapak Garden, Kuala Lumpur, Malaysia",Got School,"SMK Danau Kota
Chong Hwa Secondary School
Sekolah Rendah Agama At-Taqwa
SJK (C) Mun Yee
SK Danau Kota (2)
SJK (C) Lee Rubber",Jalan Langkawi,Setapak,Kuala Lumpur
The Riyang @ Happy Garden,4,4,"880,000",Below 1M,Suntrack Development Sdn Bhd,"Parking, Playground, Multipurpose hall, Gymnasium, Lift, Barbeque area, Security, Swimming Pool, Jogging Track",Freehold,2020,35,212,2,High,Non Bumi Lot,No nearby LRT/MRT,,Got Bus Stop,"Bus Stop Sungai Besi Expressway
Bus Stop Jalan Riang 11
Bus Stop ILP Kuala Lumpur",No Mall,,Got Park,"Park at Taman Gembira, Kuchai Lama, Kuala Lumpur, 58200, Malaysia
Park at Taman Pagar Ruyong, Kuchai Lama, Kuala Lumpur, 58200, Malaysia",Got School,"SJK (C) La Salle Sri Petaling
SK Salak South",Off Jalan Kuchai Maju,Happy Garden,Kuala Lumpur
1 Sentul,3,2,"465,500",Below 500K,Sentul Perdana Sdn. Bhd,"Parking, Multipurpose hall, Security, Swimming Pool, Sauna, Minimart, Playground, Gymnasium, Lift, Barbeque area",Freehold,2011,23,284,2,-,Non Bumi Lot,No nearby LRT/MRT,,Got Bus Stop,"Bus Stop SPG Dato Senu
Bus Stop 1 Perumahan Sentul Impian
Bus Stop 2 Perumahan Sentul Impian
Bus Stop SJKC Sentul Peng Ming (Opp)
Bus Stop Sentul Al-Hidayah Mosque
Bus Stop SK Sentul 2
Bus Stop Pangsapuri Sentul Utara
Bus Stop 2 Kg Chubadak Tambahan
Bus Stop Rumah Kedai
Bus Stop Dato Senu Commercial
Bus Stop 1 Kg Chubadak Tambahan
Bus Stop Data Senu Field
Bus Stop Sentul Market
Bus Stop Madrasah Raudatul Muttaqin (Opp)
Bus Stop Kg Puah Bahagia
Bus Stop Kg Chubadak Hulu
Bus Stop Kg Chubadak Hulu (Selatan)
Bus Stop Skymeridien Sentul East
Bus Stop SMK Convent Sentul (Opp)
Bus Stop Kg Chubadak
Bus Stop SMK Convent Sentul",No Mall,,Got Park,"Park at Taman Kosmo Jaya, Kampung Chubadak Hulu, Kuala Lumpur, 51000, Malaysia
Taman Kaya Community Garden, Kaya Garden, Kuala Lumpur, 51100, Malaysia",Got School,"SJK (C) Peng Ming
Sekolah Kebangsaan Sentul
Chong Hwa Independent High School
SJK (T) St. Joseph
SMK Convent Sentul",Jalan Sentul Ria 1,Sentul,Kuala Lumpur
M3 Residency,3,2,"365,000",Below 500K,Mega Planner Jaya Sdn. Bhd.,"Parking, Security, Playground, Lift, Swimming Pool, Gymnasium, Multipurpose hall, Jogging Track",Leasehold,2017,16,412,1,Medium,Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Off Jalan Taman Melati 1/5,Taman Melati,Kuala Lumpur
Seasons Garden Residences @ Wangsa Maju,3,2,"324,000",Below 500K,SCP Group,"Swimming Pool, Gymnasium, Security, Parking, Minimart, Playground",Leasehold,2017,34,1502,1,High,Non Bumi Lot,No nearby LRT/MRT,,Got Bus Stop,"Bus Stop Seasons Garden Residence
Bus Stop Itbm Wangsa Maju (Opp)
Bus Stop Surau Darul Huda
Bus Stop Sri Ledang Seksyen 10
Bus Stop Itbm Wangsa Maju (Timur)
Bus Stop Wisma Felcra
Bus Stop SMK Taman Sri Rampai
Bus Stop PPR Desa Rejang
Bus Stop Taman Sri Rampai (Barat)
Bus Stop Petron
Bus Stop Taman Megan Setapak
Bus Stop Taman Setapak Jaya (Utara)
Bus Stop D'Rejang Food Court
Bus Stop Jalan 1/26
Bus Stop Abu Ubaidah Mosque
Bus Stop Masjid Abu Ubaidah (Opp)",No Mall,,No Park,,Got School,"SMK Taman Seri Rampai
SK Wangsa Maju Zon R10",Jalan 26/26,Taman Setapak Jaya,Kuala Lumpur
Arte Plus Jalan Ampang,1,1,"570,000",Below 750K,Arte Corp,"Swimming Pool, Parking, Security, Jogging Track, Gymnasium",Leasehold,2018,38,1163,1,High,Non Bumi Lot,No nearby LRT/MRT,,Got Bus Stop,"Bus Stop Ampang Timur (KL1816)
Bus Stop Bangunan Risda (KL2290)
Bus Stop 3 Towers KL (KL2297)
Bus Stop 4 Jalan Ampang",No Mall,,Got Park,"Ampang Hilir Lake Garden, Perwira Jaya, Kuala Lumpur, Malaysia",Got School,"Libyan School
International School Of Kuala Lumpur City",Off Jalan Ampang,Ampang,Kuala Lumpur
Perumahan Awam Sri Perak,2,1,"195,000",Below 250K,-,"Lift, Playground",Leasehold,-,-,-,-,Low,Bumi Lot,Got nearby LRT/MRT,"LRT Station Sentul East (Sri Petaling and Ampang Line)
LRT Station Sentul (Sri Petaling and Ampang Line)",Got Bus Stop,"Bus Stop Pangsapuri Sri Perak
Bus Stop Flat Sri Perak
Bus Stop SMK Bandar Baru Sentul
Bus Stop 2 Titiwangsa (West)
Bus Stop Amru Sentul Mosque
Bus Stop 1 Titiwangsa (West)
Bus Stop 1 SRJK (C) Chung Hwa
Bus Stop 2 SRJK (C) Chung Hwa
Bus Stop Menara Orkid/Utc Sentul
Bus Stop Perumahan Sri Negeri Sembilan
Bus Stop SJKC Chiao Nan
Bus Stop Wisma Lotus
Bus Stop Apartment Bandar Baru Sentul Block 77 (Opp)
Bus Stop Makpem
Bus Stop LRT Sentul Timur
Bus Stop SJKC Chiao Nan (Opp)
Bus Stop Fennel Sentul
Bus Stop Tawakal Hospital
Bus Stop Sentul
Bus Stop The Fennel Sentul East
Bus Stop D6 Sentul
Bus Stop Guan Ying Ting (Opp)
Bus Stop Sentul Boulevard (North)
Bus Stop D7 Sentul
Bus Stop SJKC Sentul KL
Bus Stop SMK La Salle
Bus Stop Skymeridien Sentul East
Bus Stop Sentul Boulevard (West)
Bus Stop Guan Ying Ting
Bus Stop SMK Convent Sentul
Bus Stop SMK Convent Sentul (Opp)
Bus Stop Kg Puah Bahagia",No Mall,,No Park,,Got School,"SK Bandar Baru Sentul
SJK (C) Chong Hwa
Institute Masalah Pembelajaran & Austism Malaysia
SJK(C) Chiao Nan
Wesley Methodist School Sentul
SMK (L) Methodist Sentul
SK Convent Sentul 1 & 2
SJK (C) Sentul
SK (L) Methodist Sentul
SK Jalan Kuantan 1
SJK (T) Sentul
Asrama 1 Malaysia
SK Setapak
SK dan SMK La Salle Sentul
SJK (C) Chi Man
SJK (T) St. Joseph",Jalan 1/48A,Sentul,Kuala Lumpur
Putra Ria Apartment,3,1,"235,000",Below 250K,-,"Multipurpose hall, Minimart, Lift",Leasehold,-,-,-,-,High,Bumi Lot,Got nearby LRT/MRT,"KTM Station Mid Valley (Komuter Seremban Line)
KTM Station Abdullah Hukum (Komuter Port Klang Line)
LRT Station Bangsar (Kelana Jaya Line)
LRT Station Abdullah Hukum (Kelana Jaya Line)",Got Bus Stop,"Bus Stop 2 Jalan Bangsar
Bus Stop Apt Putra Ria
Bus Stop KL 1535 Mid Valley
Bus Stop KTM Midvalley - A
Bus Stop Ibu Pejabat Tnb KL Eco City
Bus Stop Dataran Maybank
Bus Stop Seputih Permai Condominium
Bus Stop 1 LRT Bangsar
Bus Stop 2 LRT Bangsar
Bus Stop Abdullah Hukum
Bus Stop Mid Valley Megamall South Court
Bus Stop Balai Polis Brickfields
Bus Stop KL1914 Lucky Gdn
Bus Stop LRT Abdullah Hukum
Bus Stop IPD Brickfields
Bus Stop Lengkok Abdulah
Bus Stop SRK La Salle Brickfields - B
Bus Stop KL1154 Pusat Khidmat Masyarakat Lembah Pantai
Bus Stop KL1157 Flat Sri Pahang
Bus Stop 1 Jalan Bangsar
Bus Stop SK Bangsar
Bus Stop Little India",Got Mall,"The Gardens Mall
Mid Valley Megamall",Got Park,"Park at Tenaga Nasional Berhad, Bangsar, Kuala Lumpur, Malaysia",Got School,"Aquabubs
SJK (T) Bangsar
SMK La Salle Brickfields
SK Bangsar",Kampung Abdullah Hukum,Off Jalan Maarof,Kuala Lumpur
Residensi Alam Damai (PR1MA @ Alam Damai),3,2,"450,000",Below 500K,-,"Parking, Security, Lift, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Tennis Court",Leasehold,-,-,-,2,Low,Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,Got Park,"Park at Residensi PR1MA @ Alam Damai, Cheras, Kuala Lumpur, 56000, Malaysia
Park at Taman Bukit Anggerik, Cheras, Kuala Lumpur, Malaysia
Park at Cheras, Kuala Lumpur, Malaysia",Got School,"SK Alam Damai
Madrasatul Iman Taman Desa Cheras
Sekolah Rendah Agama Al-Mukhlisin
Kafa Integrasi As-Syakirin
Madrasah Ehsania",Jalan Desa Cheras,Cheras,Kuala Lumpur
Vantage Point,3,2,"339,000",Below 500K,Salak Park Development,"Tennis Court, Gymnasium",Freehold,-,14,-,-,Medium,Non Bumi Lot,No nearby LRT/MRT,,Got Bus Stop,"Bus Stop S*PARK Shopping Complex
Bus Stop Desa Petaling (Selatan)
Bus Stop Sungai Besi Expressway
Bus Stop Winner Heights
Bus Stop SK Desa Petaling",Got Mall,Plaza Salak Park,Got Park,"PPR Salak Selatan, Salak South, Kuala Lumpur, 57100, Malaysia",Got School,"SJK(C) Salak South
SK Salak South
SK Desa Petaling",Jalan 4/125,Taman Desa Petaling,Kuala Lumpur
Puncak Banyan,3,2,"288,000",Below 500K,Connaught Heights Sdn Bhd,"Security, Parking, Minimart, Swimming Pool",Freehold,2007,20,1,1,-,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,Got Park,"Park at Taman Connaught, Cheras, Kuala Lumpur, Malaysia",Got School,"SMK Orkid Desa
SMK Taman Connaught
SJK(C) Taman Connaught
Rocklin Learning Center",Jalan Puncak Gading,Taman Connaught,Kuala Lumpur
Razak City Residences,3,3,"560,000",Below 750K,Razak City Residences,"Parking, Jogging Track, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall",Leasehold,-,-,-,1,Medium,Non Bumi Lot,Got nearby LRT/MRT,LRT Station Salak Selatan (Sri Petaling Line),Got Bus Stop,"Bus Stop JPJ Cheras
Bus Stop Apartment Blok A
Bus Stop Jalan Sri Permaisuri 4",No Mall,,No Park,,Got School,"SK Jalan Sungai Besi 1 & 2
SJK(C) Confucian
Sekolah Jenis Kebangsaan (Cina) Tai Thung",Razak City,Lebuhraya Sungai Besi Besraya,Kuala Lumpur
LSH Sentul,3,2,"450,000",Below 500K,Lim Seong Hai Holdings Sdn Bhd,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Leasehold,2023,38,900,2,Medium,Non Bumi Lot,No nearby LRT/MRT,,Got Bus Stop,"Bus Stop Dutaâ€“Ulu Klang Expressway
Bus Stop 1 Kg Chubadak Tambahan
Bus Stop 2 Kg Chubadak Tambahan
Bus Stop Kg Chubadak Hulu
Bus Stop SMK Batu Muda
Bus Stop Kg Chubadak Hulu (Selatan)
Bus Stop SMK Batu Muda (Opp)
Bus Stop Kg Chubadak
Bus Stop SJKC Sentul Peng Ming (Opp)
Bus Stop 1 Kg Chubadak Hulu (Utara)
Bus Stop 2 Kg Chubadak Hulu (Utara)",No Mall,,Got Park,"Park 2 at Kuala Lumpur, Malaysia
Park at Taman Kosmo Jaya, Kampung Chubadak Hulu, Kuala Lumpur, 51000, Malaysia",Got School,"Permata Kurnia
SMK Batu Muda
SJK (C) Peng Ming",Lot 30256 & 3952,Jalan Sentul Pasar,Kuala Lumpur
The Elements,1,1,"375,000",Below 500K,Elite Forward Sdn Bhd (L&G / Mayland),"Security, Swimming Pool, Barbeque area, Playground, Gymnasium, Jogging Track, Sauna, Multipurpose hall, Lift, Parking, Minimart",Freehold,2015,41,1040,1,-,Non Bumi Lot,No nearby LRT/MRT,,Got Bus Stop,"Bus Stop Ampang Timur (KL1816)
Bus Stop Bangunan Risda (KL2290)
Bus Stop 3 Towers KL (KL2297)
Bus Stop 4 Jalan Ampang",No Mall,,Got Park,"Ampang Hilir Lake Garden, Perwira Jaya, Kuala Lumpur, Malaysia",Got School,Libyan School,Jalan Ampang Ulu,Ampang,Kuala Lumpur
Impiana Apartment,3,2,"97,999",Below 250K,Palm Grove Homes / Kenmeiwood Construction & Engineering Works,"Minimart, Parking",Leasehold,-,5,-,-,High,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Wangsa 3/8,Taman Wangsa Permai,Kuala Lumpur
Villa Angsana,3,2,"488,000",Below 500K,Mudajaya Group,"Parking, Barbeque area, Tennis Court, Multipurpose hall, Minimart, Playground, Gymnasium, Security, Swimming Pool, Lift",Freehold,1999,18,-,1,Medium,Non Bumi Lot,Got nearby LRT/MRT,KTM Station Batu Kentomen (Komuter Seremban Line),Got Bus Stop,"Bus Stop Kompleks Mutiara
Bus Stop 1 Rainbow Garden
Bus Stop 2 Rainbow Garden
Bus Stop Mutiara Complex
Bus Stop SMK (P) Jln Ipoh (Opp)
Bus Stop Kentonmen MRT Station
Bus Stop SMK (P) Jalan Ipoh
Bus Stop SK Sentul 2
Bus Stop Sentul Al-Hidayah Mosque
Bus Stop SPG Dato Senu
Bus Stop Simpang Batu Kantomen / Caltex Jalan Ipoh
Bus Stop 1 Perumahan Sentul Impian
Bus Stop Pangsapuri Sentul Utara
Bus Stop SJKC Sentul Peng Ming (Opp)
Bus Stop 2 Perumahan Sentul Impian
Bus Stop Sentul Market
Bus Stop Bamboo Garden Jalan Ipoh",Got Mall,"Mutiara Complex
District K @ KLDC (U/C)",Got Park,"Taman Kaya Community Garden, Kaya Garden, Kuala Lumpur, 51100, Malaysia",Got School,"SJK (C) Lai Chee
Chong Hwa Independent High School
Sekolah Kebangsaan Sentul
SMK (P) Jalan Ipoh
SJK (C) Peng Ming
SMK Convent Sentul",No. 56 Jalan Krian,Off Jalan Ipoh,Kuala Lumpur
LSH Sentul,3,2,"450,000",Below 500K,Lim Seong Hai Holdings Sdn Bhd,"Playground, Sauna, Swimming Pool, Gymnasium, Barbeque area, Multipurpose hall, Lift, Security, Parking, Minimart, Jogging Track",Leasehold,2023,38,900,-,Medium,Non Bumi Lot,No nearby LRT/MRT,,Got Bus Stop,"Bus Stop Dutaâ€“Ulu Klang Expressway
Bus Stop 1 Kg Chubadak Tambahan
Bus Stop 2 Kg Chubadak Tambahan
Bus Stop Kg Chubadak Hulu
Bus Stop SMK Batu Muda
Bus Stop Kg Chubadak Hulu (Selatan)
Bus Stop SMK Batu Muda (Opp)
Bus Stop Kg Chubadak
Bus Stop SJKC Sentul Peng Ming (Opp)
Bus Stop 1 Kg Chubadak Hulu (Utara)
Bus Stop 2 Kg Chubadak Hulu (Utara)",No Mall,,Got Park,"Park 2 at Kuala Lumpur, Malaysia
Park at Taman Kosmo Jaya, Kampung Chubadak Hulu, Kuala Lumpur, 51000, Malaysia",Got School,"Permata Kurnia
SMK Batu Muda
SJK (C) Peng Ming",Lot 30256 & 3952,Jalan Sentul Pasar,Kuala Lumpur
Sri Pangkor (Sentul),2,1,"148,000",Below 250K,-,"Lift, Playground, Parking",Leasehold,-,-,-,3,High,Bumi Lot,Got nearby LRT/MRT,LRT Station Sentul East (Sri Petaling and Ampang Line),Got Bus Stop,"Bus Stop Sentul Al-Hidayah Mosque
Bus Stop SK Sentul 2
Bus Stop SPG Dato Senu
Bus Stop Pangsapuri Sentul Utara
Bus Stop 2 Perumahan Sentul Impian
Bus Stop 1 Perumahan Sentul Impian
Bus Stop Dato Senu Commercial
Bus Stop Rumah Kedai
Bus Stop Sentul Market
Bus Stop Madrasah Raudatul Muttaqin (Opp)
Bus Stop Skymeridien Sentul East
Bus Stop Kg Puah Bahagia
Bus Stop Data Senu Field
Bus Stop SJKC Sentul Peng Ming (Opp)
Bus Stop SMK Convent Sentul (Opp)
Bus Stop Sentul Boulevard (North)
Bus Stop SMK Convent Sentul
Bus Stop 2 Kg Chubadak Tambahan
Bus Stop LRT Sentul Timur
Bus Stop 1 Kg Chubadak Tambahan
Bus Stop Sentul Boulevard (West)
Bus Stop Apartment Bandar Baru Sentul Block 77 (Opp)
Bus Stop Kg Chubadak Hulu
Bus Stop Kg Chubadak Hulu (Selatan)",No Mall,,Got Park,"Park at Taman Kosmo Jaya, Kampung Chubadak Hulu, Kuala Lumpur, 51000, Malaysia
Taman Kaya Community Garden, Kaya Garden, Kuala Lumpur, 51100, Malaysia",Got School,"Sekolah Kebangsaan Sentul
SJK (C) Peng Ming
SJK (T) St. Joseph
Chong Hwa Independent High School
SMK Convent Sentul
SK Convent Sentul 1 & 2
SJK (C) Chi Man",Jalan Sentul,Sentul,Kuala Lumpur
J.Satine,3,2,"300,000",Below 500K,Gandingan Jakel,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",Leasehold,2026,-,3600,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,Got Bus Stop,"Bus Stop Setapak Sentral (Opp)
Bus Stop Starparc Point
Bus Stop Sri Utama Schools (Opp)
Bus Stop Setapak Central
Bus Stop 1 Sri Utama Schools
Bus Stop Columbia Hospital
Bus Stop Setapak Industrial Area
Bus Stop CIMB Genting Klang
Bus Stop 2 Sri Utama Schools
Bus Stop Setapak Commercial
Bus Stop 1 Setapak Food Court
Bus Stop 2 Medan Makmur Setapak
Bus Stop 2 Setapak Food Court
Bus Stop 1 Medan Makmur Setapak
Bus Stop PV15 Platinum
Bus Stop Jalan Kilang
Bus Stop BHP Genting Klang
Bus Stop PV128 Setapak
Bus Stop Aeon Big Danau Kota
Bus Stop PV12 Residence
Bus Stop PV12 Condominium (Opp)
Bus Stop Rampai Business Park
Bus Stop Langkawi Apartment (Opp)
Bus Stop Sri Rampai Park",Got Mall,Setapak Central,Got Park,"Park at Taman Tasik Danau Kota, Setapak, Kuala Lumpur, Malaysia",Got School,"SJK (C) Wangsa Maju
Sri Utama Schools
Sekolah Menengah Pendidikan Khas Cacat Penglihatan
Kolej Vokasional Setapak
SK Danau Kota (2)
Sekolah Kebangsaan Danau Kota
SMK Danau Kota",Jalan 3/23a,Setapak,Kuala Lumpur
Ketumbar Heights,3,2,"259,999",Below 500K,Mahajaya Berhad,"Lift, Security, Swimming Pool, Playground, Parking, Minimart, Gymnasium, Club house",Freehold,2010,14,336,1,Medium,Non Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan 6/95B,Taman Cheras,Kuala Lumpur
8 Petaling,3,3,"738,000",Below 750K,Petaling Garden Sdn Bhd (I & P Group),"Parking, Lift, Security, Playground, Swimming Pool, Minimart, Multipurpose hall, Sauna, Gymnasium, Barbeque area",Freehold,2014,18,156,2,Low,Bumi Lot,No nearby LRT/MRT,,No Bus Stop,,No Mall,,No Park,,No School,,Jalan Radin,Zone K,Kuala Lumpur
Trinity Aquata,3,2,"659,900",Below 750K,Trinity Group,"Gymnasium, Parking, Security, Swimming Pool, Lift, Playground, Sauna, Barbeque area, Multipurpose hall, Minimart",Freehold,2019,26,344,2,High,Non Bumi Lot,Got nearby LRT/MRT,"ERL Station ERL Bandar Tasik Selatan (KLIA Transit)
KTM Station Bandar Tasik Selatan (Komuter Seremban Line)
KTM Station Bandar Tasik Selatan (Komuter Seremban Line)
LRT Station Bandar Tasik Selatan (Sri Petaling Line)",Got Bus Stop,"Bus Stop Desa Petaling (Selatan)
Bus Stop Winner Heights
Bus Stop S*PARK Shopping Complex
Bus Stop SK Desa Petaling
Bus Stop To Lobby Utama
Bus Stop Pangsaria",Got Mall,Plaza Salak Park,No Park,,Got School,"SK Desa Petaling
SK Salak South
SMK Desa Petaling
SJK(C) Salak South",Sungai Besi,Sungai Besi,Kuala Lumpur
